,焚化廠名稱,分配碳權
0,宜蘭縣利澤垃圾資源回收(焚化)廠,95288.77257439957
1,屏東縣崁頂垃圾資源回收(焚化)廠,170910.18577616752
2,苗栗縣垃圾焚化廠,114112.1575131122
3,桃園市垃圾焚化廠,477153.0285313985
4,高雄市仁武垃圾資源回收(焚化)廠,145425.8593295847
5,高雄市岡山垃圾資源回收(焚化)廠,145425.8593295847
6,高雄市政府環境保護局中區資源回收廠,145425.8593295847
7,高雄市政府環境保護局南區資源回收廠,145425.8593295847
8,基隆市天外天垃圾資源回收(焚化)廠,77305.15586759291
9,新北市八里垃圾焚化廠,282583.447155378
10,新北市新店垃圾焚化廠,282583.447155378
11,新北市樹林垃圾焚化廠,282583.447155378
12,新竹市垃圾資源回收廠,94936.50315580641
13,嘉義市垃圾焚化廠,55943.53832410366
14,嘉義縣鹿草垃圾焚化廠,105045.89938407783
15,彰化縣溪州垃圾焚化廠,266393.49519367074
16,臺中市文山垃圾焚化廠,197746.665963213
17,臺中市后里資源回收廠,197746.665963213
18,臺中市烏日資源回收廠,197746.665963213
19,臺北市政府環境保護局內湖垃圾焚化廠,182438.2638400747
20,臺北市政府環境保護局木柵垃圾焚化廠,182438.2638400747
21,臺北市政府環境保護局北投垃圾焚化廠,182438.2638400747
22,臺南市永康垃圾資源回收(焚化)廠,197156.99149266645
23,臺南市城西垃圾焚化廠,197156.99149266645
